Listening on COM8 at 115200 baud (8E1)...
COBS Decode Error
Accel: X=    24 Y=  -476 Z= 18348 | Gyro: X=  -243 Y=  -660 Z=   -78 | Temp:  35.0 °C
Accel: X=    88 Y=  -664 Z= 18588 | Gyro: X=  -241 Y=  -670 Z=   -85 | Temp:  35.1 °C
Accel: X=   196 Y=  -656 Z= 18576 | Gyro: X=  -244 Y=  -655 Z=   -75 | Temp:  35.1 °C
Accel: X=    84 Y=  -664 Z= 18260 | Gyro: X=  -231 Y=  -644 Z=   -86 | Temp:  35.0 °C
Accel: X=    84 Y=  -852 Z= 18528 | Gyro: X=  -279 Y=  -659 Z=   -85 | Temp:  35.1 °C
Accel: X=    68 Y=  -808 Z= 18608 | Gyro: X=  -227 Y=  -666 Z=   -68 | Temp:  35.1 °C
Accel: X=   300 Y=  -680 Z= 18304 | Gyro: X=  -234 Y=  -643 Z=   -92 | Temp:  35.1 °C
Accel: X=   172 Y=  -596 Z= 18288 | Gyro: X=  -235 Y=  -640 Z=   -86 | Temp:  35.1 °C
Accel: X=   184 Y=  -668 Z= 18420 | Gyro: X=  -245 Y=  -650 Z=  -110 | Temp:  35.2 °C
Accel: X=   132 Y=  -664 Z= 18516 | Gyro: X=  -235 Y=  -675 Z=   -90 | Temp:  35.0 °C
Accel: X=   100 Y=  -672 Z= 18372 | Gyro: X=  -256 Y=  -637 Z=   -69 | Temp:  35.1 °C
Accel: X=   -76 Y=  -844 Z= 18576 | Gyro: X=  -238 Y=  -673 Z=   -75 | Temp:  35.1 °C
Accel: X=   -84 Y=  -880 Z= 18592 | Gyro: X=  -256 Y=  -678 Z=   -84 | Temp:  35.0 °C
Accel: X=    48 Y=  -832 Z= 18368 | Gyro: X=  -251 Y=  -660 Z=   -86 | Temp:  35.0 °C
Accel: X=    60 Y=  -744 Z= 18464 | Gyro: X=  -259 Y=  -658 Z=   -79 | Temp:  35.0 °C
Accel: X=    12 Y=  -700 Z= 18196 | Gyro: X=  -223 Y=  -644 Z=   -80 | Temp:  35.1 °C
Accel: X=   232 Y=  -588 Z= 18328 | Gyro: X=  -232 Y=  -672 Z=  -105 | Temp:  35.1 °C
Accel: X=   144 Y=  -484 Z= 18244 | Gyro: X=  -235 Y=  -660 Z=   -87 | Temp:  35.1 °C
Accel: X=   136 Y=  -536 Z= 18404 | Gyro: X=  -239 Y=  -648 Z=   -96 | Temp:  35.0 °C
Accel: X=   160 Y=  -620 Z= 18584 | Gyro: X=  -254 Y=  -679 Z=   -78 | Temp:  35.0 °C
Accel: X=   348 Y=  -952 Z= 17816 | Gyro: X=  -196 Y=  -634 Z=   -76 | Temp:  35.0 °C
Accel: X=   -68 Y=  -804 Z= 18432 | Gyro: X=  -212 Y=  -681 Z=   -91 | Temp:  35.0 °C
Accel: X=   -72 Y=  -760 Z= 18488 | Gyro: X=  -240 Y=  -666 Z=   -99 | Temp:  35.0 °C
Accel: X=   236 Y=  -584 Z= 18060 | Gyro: X=  -242 Y=  -647 Z=   -81 | Temp:  35.1 °C
